SO Number,Date,Installation Complete,Machine Details,SerialNumber,CustomerName,Location,Region,ponumber,Ressubassembly,Resassembly,Res QA,Res Dispatch,Invoice Date,Invoice Number,Dispatch File,REMARKS,IncoTerms,SO_Date,PO_Date
123,22-May-18,Out Of Warranty,te,CS150518006,abcc,dcs,NA,432,tdc,uhf,-,-,-,-,-,-,-,14-Mar-18,18-May-18
1234,22-May-18,Out Of Warranty,te,CS150518005,ACGI,KANDIVALI,West,123445,ABC,ABCD,Qa name,-,18-May-18,124456,,Test,Road,24-May-18,02-May-18
4354,07-Apr-18,Out Of Warranty,Collation,PCCH0418042,deg,dfg,NA,dfg,sfd,sfd,-,-,-,-,-,-,-,27-Mar-18,28-Mar-18
12345,01-Jun-18,Out Of Warranty,TE,CS0518010,ABC,Mumbai,West,123,Aa,Bb,-,-,-,-,-,-,-,16-May-18,11-Apr-18
24357,27-Mar-18,Out Of Warranty,Universal,VFTH121701,Amneal Pharma,mumbai,West,3.40E+11,Chetan Patil,Sudhir Sane,-,-,-,-,-,-,-,22-Dec-17,06-Dec-17
65789,30-Mar-18,Out Of Warranty,universal,vfsh1217866,ACG,Mumbai,West,PO101g,vignesh,biswa,QA Name,jairaj,16-Mar-18,12233455,,acds,by Lorry,07-Mar-18,14-Mar-18
123456,02-Mar-19,Out Of Warranty,xl,VFSH031918006,ranjit,mumbai,West,654321,vc,ss,we,ccc,-,-,-,-,-,19-Mar-19,20-Mar-19
876532,12-Apr-18,Out Of Warranty,Universal,VFSH0418051,Abd,Mumbai,West,24589,Hh,Hu,-,-,-,-,-,-,-,04-Apr-18,10-Apr-18
8765432,04-May-18,Out Of Warranty,Vg,Vfsh0317005,Vg,Fhj,NA,Fbjk,Bn,Jj,Nj,Nj,-,-,-,-,-,23-Nov-17,09-May-18
68023214,22-Mar-18,Out Of Warranty,Collation,pcch1212009,Lupi,mumbai,West,oc-12345g,chetan,sudhir,-,-,-,-,-,-,-,06-Mar-18,06-Mar-18
680103073,20-Apr-18,Out Of Warranty,BIS,BISH0418001,scitech,mumbai,West,Engg_MDP-Top&Bottom BIS(JSC),jolden,Shankar Jha,nikhil,Bunty,30-Apr-18,DO1890000016,,680904323 commercial invoice,Road,10-Apr-18,05-Apr-18
680103091,11-May-18,Out Of Warranty,1BPO FOR KHW100,CISH0518003,SUNPHARMA,SIKKIM,East,DEMO PURPOSE,JOLDEN TUSCANO,Shankar Jha,NP,BK,15-May-18,CO1894000010,,NA,NA,18-Apr-18,18-Apr-18
680103411,24-Aug-18,Out Of Warranty,CPIR XL,VFSH0618003,Scitech Centre,mumbai,West,Asia Pharma 2018,Joldan,Shankar,NP,Jairaj,29-Aug-18,CO1894000017,,NA,NA,07-Aug-18,01-Aug-18
680103452,26-Oct-18,Out Of Warranty,2BPO,CISH1018024,pam-pac,pune,West,PMEC expo,RAVI RATHOD,SHANKAR JHA,NP,BUNTY KUNDAPUR,29-Oct-18,CO1894000021,,NA,NA,21-Aug-18,21-Aug-18
